artistid,artistname
/artist/340210570,不才
/artist/88011430,八只眼
/artist/209992114,冰凌花少
/artist/2755,包美圣
/artist/232821401,包胡尔查
/artist/340420041,北岛诗
/artist/239557412,北方狼
/artist/92452995,坂本龍一
/artist/340431174,宝宝巴士
/artist/340615151,宝宝床边音乐盒
/artist/340552532,宝宝早教
/artist/87961575,巴图
/artist/10600,布仁巴雅尔
/artist/1938023,暴林
/artist/1161,本多RuRu
/artist/232930352,柏凝
/artist/1791,柏文
/artist/210071569,柏磊
/artist/340197504,柏雪
/artist/232655793,柏鹤
/artist/88029953,比才
/artist/211256761,毕夏丽
/artist/340295594,毕志飞
/artist/239559996,毕海燕
/artist/87957358,毕程漉
/artist/92456653,白举纲
/artist/170220861,白云飞
/artist/1668828,白凯南
/artist/212323,白嘉倩
/artist/91840848,白客
/artist/232953428,白小白
/artist/340582175,白帆(BAI)
/artist/210143392,白敬亭
/artist/1290150,白晶
/artist/5326,白杨
/artist/55562,白玛多吉
/artist/340518232,白纸扇（Hardcore Raver in Tears）
/artist/340497897,白虎（Baihu）
/artist/87980830,白虹
/artist/232738150,白金
/artist/209841830,白银河
/artist/1446,白雪
/artist/221510593,白鳥マイカ
/artist/210041266,白龙传说
/artist/232831599,百度音乐
/artist/209081108,百石元
/artist/239739544,碧琴
/artist/122482011,碧瑶
/artist/4012,鲍国
/artist/6045,鲍家街43号
/artist/88035509,鲍比达
/artist/239603853,비스윗
/artist/340507375,CLOUDWANG 王云
/artist/211829305,CMCB
/artist/239912453,Callin
/artist/200474,Calvin Harris
/artist/239631113,Carl Miles
/artist/232830705,Carl von dem Bussche
/artist/240037383,Carlos Blanco Ruiz
/artist/9061,Carmen McRae
/artist/172402,Carpenters
/artist/232631893,Carr
/artist/87904851,Carsick Cars
/artist/239594279,Casso
/artist/232940052,Catey Shaw
/artist/36037,Cathy Davey
/artist/232296,CeeLo Green
/artist/11705,Celine Dion
/artist/35242,Celso Fonseca
/artist/8571,Celtic Woman
/artist/340481823,Cephalosis
/artist/239630380,Cheap Thrills
/artist/6285,Chet Baker
/artist/239587501,Chiharu Kuroki
/artist/239784718,Children of Christmas
/artist/239633386,Chinese Relaxation and Meditation
/artist/87981867,Chris Conway
/artist/223980,Chris Malinchak
/artist/87954395,Christine Brown
/artist/98878,Christmas
/artist/239622661,Christmas & Xmas All Stars
/artist/239754876,Christmas Favorites
/artist/239769117,Christmas Guitar
/artist/239597707,Christmas Hits
/artist/239783526,Christmas Hits Group
/artist/240101437,Christmas Nature
/artist/239634198,Christmas Party Songs
/artist/239602956,Christmas Songs
/artist/239634314,Christmas Songs For Kids
/artist/239616790,Christmas Superstars
/artist/239590087,Christoffer Franzen
/artist/232903843,Christopher West
/artist/55746,Chuck Berry
/artist/239785695,Ciara Sidine
/artist/93967,Cissy Houston
/artist/239634186,Classical Piano
/artist/340585306,Classical Piano Star
/artist/87979443,Claude Debussy
/artist/340013898,Click#15
/artist/2821,Cliff Richard
/artist/8308,Clint Mansell
/artist/239639815,Club Ibiza Chill
/artist/232790690,Club Madness
/artist/87999402,Cocoon
/artist/458887,Cody Simpson
/artist/172451,Colbie Caillat
/artist/2713,Coldplay
/artist/707690,Connie Francis
/artist/239640123,Cool Jazz Hits
/artist/2711,Corinne Bailey Rae
/artist/239642381,Courtney Now
/artist/239636446,Cover Pop
/artist/8269,Creedence Clearwater Revival
/artist/87941461,Cris Delanno
/artist/340587455,Cristian李浩宇
/artist/87978553,Cristina Ortiz
/artist/87968043,Crystal Ball
/artist/2824,Crystal Gayle
/artist/239637648,Culture Code
/artist/221506709,cindy bradley
/artist/232938776,丛伟
/artist/57668614,储毅
/artist/11256927,初音ミク
/artist/60749093,刺猬
/artist/340509288,卡斯柏
/artist/88012531,城南海
/artist/239547541,崔云飞
/artist/2595,崔京浩
/artist/18950955,崔天琪
/artist/1684,崔恕
/artist/19120534,崔羽明
/artist/340073587,崔苗
/artist/88013445,崔龙阳
/artist/340059073,川宝宝
/artist/232902,常思思
/artist/340506706,常成
/artist/340512866,常柏山
/artist/7900,常石磊
/artist/210018679,才娜旺姆
/artist/1728,春雷
/artist/55187,晨熙
/artist/8439,曹卉娟
/artist/87972124,曹庆跃
/artist/1211,曹方
/artist/239557391,曹燕
/artist/595849,曹秦
/artist/209837487,曹艺馨
/artist/2272,曹芙嘉
/artist/2012397,曹菲儿
/artist/469193,曹越
/artist/340013854,曹雅卓
/artist/88043572,查丽娜
/artist/72260013,楚小波
/artist/210128524,橙翼
/artist/340419160,次仁旺修
/artist/340500036,沉默演讲（Silent Speech）
/artist/340509131,程一
/artist/404794,程响
/artist/210121378,程小小
/artist/9293,程琳
/artist/210120784,程璧
/artist/1499406,程罕华
/artist/340610766,程芯
/artist/232951237,程雨
/artist/104013233,程鸣
/artist/221511670,脆乐团
/artist/340612699,脆莓Brickleberry
/artist/136481584,草帽姐
/artist/1462,草蜢
/artist/1034,蔡依林
/artist/239563102,蔡徐坤
/artist/211115315,蔡德允
/artist/55565,蔡旻佑
/artist/239543995,蔡照
/artist/1780544,蔡献华
/artist/84336,蔡秋凤
/artist/209991815,蔡雯君
/artist/88014366,赤龙
/artist/340612753,车耀耀
/artist/1700,迟志强
/artist/209994282,钞艺峰
/artist/340423263,陈丙
/artist/340609682,陈之行
/artist/239561410,陈伟琪
/artist/16455713,陈俊彤
/artist/240085395,陈信喆
/artist/4852937,陈军
/artist/555679,陈冰
/artist/54232914,陈劭康
/artist/340610994,陈博伦ERIC TAN
/artist/1240044,陈咏
/artist/82413,陈坤
/artist/1253566,陈娇
/artist/146801388,陈学冬
/artist/340606652,陈家麟Whle
/artist/1111,陈小春
/artist/1604,陈小霞
/artist/1671,陈少华
/artist/239562543,陈广生
/artist/211130701,陈强
/artist/340013834,陈思圆
/artist/1339,陈思思
/artist/11699,陈慧娴
/artist/340587290,陈敬轩
/artist/1294,陈旭
/artist/1212,陈明
/artist/2021,陈明韶
/artist/55568,陈星
/artist/239573512,陈星翰
/artist/1179,陈松伶
/artist/139534297,陈梓童
/artist/1038,陈楚生
/artist/72373317,陈水林
/artist/404297,陈汉
/artist/209625296,陈泳泼
/artist/209836595,陈浩东
/artist/340518586,陈涵林
/artist/88034669,陈爽
/artist/1613,陈玉建
/artist/209977960,陈珂冰
/artist/10514,陈珊妮
/artist/9529,陈瑞
/artist/2707,陈百强
/artist/1823,陈红
/artist/290553,陈美惠
/artist/232925980,陈胜
/artist/211137468,陈致逸
/artist/1876,陈艺鹏
/artist/340022770,陈蓓蓓
/artist/47506234,陈赫
/artist/340614643,陈雪松
/artist/88034719,陈零九
/artist/210116158,陈鸿宇
/artist/87953045,D-Sisive
/artist/240024361,D.Mass
/artist/239855974,D.W
/artist/87950840,DJ Bobo
/artist/239784465,DJ Covers
/artist/87904113,DJ Kam
/artist/340414768,DJ Mr.zi
/artist/74654641,DJ OKAWARI
/artist/97207487,DJ Snake
/artist/232939711,DJ Tokeo
/artist/239632248,DJ Trigger
/artist/232668654,DJ's Choice
/artist/239558285,DJ何鹏
/artist/91840367,DJ何鹏（重复）
/artist/340512577,DJ杨洋
/artist/340512586,DJ杨硕
/artist/210958483,DJ枭枭
/artist/345871,DMX
/artist/51581239,Da Buzz
/artist/232633199,Dakko Petrinjak
/artist/87999570,Dala
/artist/232683819,Dan Gibson's Solitudes
/artist/239612863,Dance Heaven
/artist/831411,Danny Elfman
/artist/232666177,Danny Schneider
/artist/87999622,Darin
/artist/88014135,Dave Aude
/artist/88040015,Dave Brubeck Quartet (已删除)
/artist/99166,Dave Pell
/artist/239616785,David & The High Spirit
/artist/2825,David Bowie
/artist/88014550,David Dunn
/artist/340543584,David Graham Farnon
/artist/4842,David Guetta
/artist/239726098,David Jaggs
/artist/239592751,David Sudaley
/artist/87938378,David Watkins
/artist/87924708,David Wright
/artist/87996033,Dawn
/artist/9639,Daz Dillinger
/artist/213128148,Dazz Band
/artist/3956,Dean Martin
/artist/87978672,Dean Miller
/artist/232672749,Dean Raskin
/artist/87999709,Dear Eloise
/artist/239639997,Decompression and Relaxation
/artist/2826,Deep Purple
/artist/239631094,Deep Sleep Nature Sounds
/artist/232766581,Deidre Thornell
/artist/395983,Deja Vu
/artist/87982460,Del Barber
/artist/87976294,Delegation
/artist/239637349,Dennis Lambert
/artist/232889769,Dennis Marcellino
/artist/87926298,Dennis McCarthy
/artist/239579909,Denny Dennis
/artist/239664075,Der Kinderchor vom Hambergsfeld
/artist/232766676,Devon Allman
/artist/87981192,Devon Sproule
/artist/87966196,Devotchka
/artist/87977711,Diane Arkenstone
/artist/88040749,Dick Dale
/artist/87902134,Dick Lee
/artist/11700,Dido
/artist/239635087,Different Heaven
/artist/340559712,DinPei
/artist/232904007,Dirk Darmstaedter
/artist/232667385,Divas
/artist/239755721,Dj Kiky
/artist/239755287,Dj Lagrot
/artist/239753444,Dj Tobe
/artist/340526807,Djang San - 张思安
/artist/8037,Django Reinhardt
/artist/232625828,Dnr
/artist/460170,Dolores O'Riordan
/artist/9449,Don Mclean
/artist/232834960,Don Taylor
/artist/9446,Don Williams
/artist/217558,Donavon Frankenreiter
/artist/232934734,Done Again
/artist/208445,Donovan
/artist/340504178,Don·Jessie
/artist/87964509,Dorena
/artist/208513,Doris Day
/artist/10116,Dr. Dre
/artist/239577763,Dr. Will Tuttle
/artist/239641384,Dream Baby
/artist/34220678,Dream Girls
/artist/232736543,Dream Project
/artist/47304690,Dreamtale
/artist/9434,Duane Eddy
/artist/87987992,Dub Tractor
/artist/122173712,Duke Dumont
/artist/9431,Duke Ellington
/artist/9424,Dusty Springfield
/artist/340440116,KAKA
/artist/12894013,丁丁
/artist/239548526,丁世光
/artist/340616531,丁世光Dean Ting
/artist/1672,丁于
/artist/68151721,丁克森
/artist/215463427,丁宇祥
/artist/1400,丁当
/artist/340587794,丁橘
/artist/1539,丁汀
/artist/2253399,丁炜
/artist/20390532,丁童
/artist/1213,丁薇
/artist/88041103,丁靖懿
/artist/31838027,东南
/artist/61307366,东方依依
/artist/92458069,东方健
/artist/90654791,东方红艳
/artist/2210,东方骏
/artist/1538,东来东往
/artist/26168636,东浩
/artist/211143267,丹戈尔
/artist/4585,代理仁
/artist/340507979,党明毅
/artist/239579577,党飞锋
/artist/239559104,冬夏雨晴
/artist/1056,刀郎
/artist/1272,动力火车
/artist/2081,动静乐团
/artist/1306912,单色凌
/artist/7753,单艺
/artist/12893750,多亮
/artist/340507461,多喝热水
/artist/340498134,多小逗
/artist/209837888,多情流星
/artist/87740,大哲
/artist/340229626,大壮
/artist/209842409,大宝哥
/artist/1888429,大平
/artist/210141080,大张凡
/artist/210016763,大张雨
/artist/210129489,大星
/artist/211271305,大森俊之
/artist/340503628,大欢
/artist/7678,大海
/artist/340424735,大贺兄弟
/artist/340566106,大野姉妹
/artist/340480119,对角巷
/artist/209952670,岛屿心情
/artist/1637,德德玛
/artist/61350866,德格叶
/artist/211124740,戴晓莲
/artist/9544,戴玉强
/artist/210134052,打扰一下乐团
/artist/340613694,打首獄門同好会
/artist/340526215,旦色Music
/artist/221512168,朵久央
/artist/30413238,杜丽平
/artist/87972128,杜拉拉
/artist/87970075,杜歌
/artist/44608794,杜淳
/artist/340073766,杜美娜
/artist/232955213,杜青
/artist/209838354,栋梁
/artist/807326,段丽阳
/artist/88036449,段俊宝
/artist/1705,段千寻
/artist/209984944,段家新
/artist/720630,段林希
/artist/340526262,电音任瑶
/artist/1178,窦唯
/artist/37917328,窦靖童
/artist/239563385,第八世殊立仁波切
/artist/948488,翟廷军
/artist/153124828,翟承寒
/artist/4029,董冬
/artist/239562366,董又霖
/artist/340287788,董奕成
/artist/232952400,董子健
/artist/1214,董文华
/artist/239564383,董明珠
/artist/211786058,董昱昆
/artist/1639,董贞
/artist/1775,蛋糕炸弹
/artist/239564293,达娃
/artist/92453340,达娃卓玛
/artist/83564,达达乐队
/artist/1127,迪克牛仔
/artist/1091,邓丽君
/artist/1267,邓丽欣
/artist/1965,邓妙华
/artist/239563163,邓子辰
/artist/340073655,邓建超
/artist/15874959,邓海
/artist/3994,邓超
/artist/73786034,邓鼓
/artist/87990142,颠覆M
/artist/211118633,颠覆M乐队
/artist/268253,EDX
/artist/87967660,ELF
